RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:41:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:41:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:42:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
